sub_id,customer_id,plan_name,internet_service,phone_service,multiple_lines,online_security,tech_support,streaming_tv,device_protection,monthly_charge_egp,total_charge_egp,tenure_months
S11271,C11271,Ultra,DSL,Yes,No,No,No,No,Yes,548.27,22485.86,41
S11272,C11272,Business,No Internet,Yes,Yes,Yes,Yes,Yes,Yes,757.82,25013.32,33
S11273,C11273,Basic,5G,Yes,Yes,No,No,No,No,272.03,9015.76,33
S11274,C11274,Business,5G,Yes,No,Yes,No,Yes,No,869.52,38366.3,44
S11275,C11275,Plus,DSL,Yes,Yes,Yes,Yes,No,No,323.78,7193.85,22
S11276,C11276,Ultra,Fiber,Yes,No,No,No,No,Yes,552.96,10533.11,19
S11277,C11277,Basic,DSL,No,No phone,Yes,No,Yes,Yes,148.87,5775.3,39
S11278,C11278,Basic,No Internet,Yes,No,No,Yes,Yes,Yes,187.83,4771.24,25
S11279,C11279,Ultra,5G,Yes,Yes,No,Yes,Yes,Yes,629.52,34579.92,55
S11280,C11280,Basic,DSL,No,No phone,Yes,No,Yes,Yes,235.5,6876.87,29
S11281,C11281,Ultra,Fiber,Yes,No,Yes,Yes,Yes,Yes,597.99,17336.09,29
S11282,C11282,Plus,5G,Yes,Yes,Yes,Yes,Yes,Yes,440.88,6553.88,15
S11283,C11283,Plus,DSL,No,No phone,No,No,Yes,Yes,343.04,17112.04,50
S11284,C11284,Ultra,DSL,No,No phone,No,No,No,No,586.73,35143.46,60
S11285,C11285,Plus,Fiber,Yes,Yes,Yes,No,Yes,No,349.96,16436.08,47
S11286,C11286,Ultra,DSL,Yes,Yes,Yes,Yes,Yes,No,525.2,15766.61,30
S11287,C11287,Ultra,DSL,Yes,Yes,No,No,No,No,494.63,8432.38,17
S11288,C11288,Plus,5G,Yes,Yes,No,Yes,Yes,No,399.35,8253.78,21
S11289,C11289,Plus,5G,Yes,No,No,Yes,No,No,441.8,23879.44,54
S11290,C11290,Basic,5G,No,No phone,Yes,Yes,No,Yes,271.11,6397.35,24
S11291,C11291,Ultra,DSL,Yes,Yes,Yes,Yes,Yes,Yes,522.05,18130.3,35
S11292,C11292,Plus,DSL,Yes,No,No,No,No,No,331.58,5278.64,16
S11293,C11293,Plus,5G,Yes,No,No,No,Yes,No,379.39,19394.21,51
S11294,C11294,Basic,Fiber,Yes,Yes,No,Yes,No,Yes,206.09,6153.0,30
S11295,C11295,Plus,DSL,Yes,Yes,No,Yes,Yes,No,330.33,10379.27,31
S11296,C11296,Plus,Fiber,Yes,Yes,Yes,No,No,No,388.47,22909.46,59
S11297,C11297,Plus,No Internet,Yes,Yes,No,Yes,Yes,No,333.41,5643.79,17
S11298,C11298,Basic,No Internet,No,No phone,No,No,Yes,Yes,156.6,2576.13,17
S11299,C11299,Business,No Internet,Yes,Yes,Yes,Yes,No,No,821.14,42741.71,52
S11300,C11300,Plus,DSL,Yes,No,Yes,Yes,Yes,Yes,293.56,4746.83,16
S11301,C11301,Plus,DSL,No,No phone,Yes,Yes,No,Yes,325.35,18792.17,58
S11302,C11302,Plus,Fiber,Yes,No,No,Yes,No,Yes,389.4,16293.55,42
S11303,C11303,Plus,DSL,Yes,Yes,No,No,Yes,No,281.56,11870.7,42
S11304,C11304,Business,Fiber,Yes,No,Yes,Yes,No,No,808.01,44374.92,55
S11305,C11305,Business,Fiber,Yes,Yes,No,Yes,Yes,No,817.05,44108.47,54
S11306,C11306,Basic,Fiber,No,No phone,No,Yes,No,No,304.07,12426.25,41
S11307,C11307,Plus,Fiber,Yes,No,No,Yes,Yes,No,420.65,15698.72,37
S11308,C11308,Plus,Fiber,Yes,Yes,Yes,Yes,Yes,Yes,352.81,4929.43,14
S11309,C11309,Business,No Internet,Yes,No,Yes,Yes,Yes,Yes,786.07,22687.93,29
S11310,C11310,Business,No Internet,Yes,Yes,Yes,Yes,Yes,Yes,724.89,18132.4,25
S11311,C11311,Ultra,DSL,Yes,Yes,No,Yes,No,No,544.42,27222.79,50
S11312,C11312,Plus,5G,Yes,No,Yes,Yes,Yes,No,445.67,20942.59,47
S11313,C11313,Ultra,Fiber,Yes,Yes,Yes,No,No,Yes,636.02,17210.65,27
S11314,C11314,Plus,5G,Yes,No,Yes,No,No,Yes,445.38,18853.31,42
S11315,C11315,Ultra,DSL,Yes,No,Yes,Yes,Yes,Yes,548.68,28452.32,52
S11316,C11316,Plus,DSL,No,No phone,No,No,No,No,315.02,6000.17,19
S11317,C11317,Plus,Fiber,Yes,No,No,No,No,Yes,394.0,15385.01,39
S11318,C11318,Basic,DSL,Yes,Yes,Yes,Yes,No,No,176.54,8077.13,46
S11319,C11319,Business,5G,Yes,Yes,No,No,No,Yes,866.27,11168.47,13
S11320,C11320,Basic,Fiber,No,No phone,No,No,No,Yes,263.83,11848.36,45
S11321,C11321,Basic,5G,Yes,No,Yes,No,Yes,No,266.51,8815.37,33
S11322,C11322,Basic,DSL,No,No phone,No,Yes,Yes,No,196.68,2629.92,14
S11323,C11323,Business,Fiber,Yes,Yes,Yes,No,No,Yes,817.41,48269.89,59
S11324,C11324,Plus,Fiber,Yes,Yes,Yes,No,Yes,Yes,390.22,16117.38,41
S11325,C11325,Ultra,Fiber,No,No phone,Yes,No,Yes,No,633.22,16529.12,26
S11326,C11326,Basic,Fiber,Yes,No,Yes,Yes,Yes,No,267.68,14182.94,53
S11327,C11327,Basic,Fiber,Yes,Yes,No,Yes,No,No,254.42,6590.34,26
S11328,C11328,Ultra,Fiber,Yes,No,No,Yes,No,Yes,577.53,25477.43,44
S11329,C11329,Ultra,5G,Yes,No,No,No,Yes,No,671.67,23454.18,35
S11330,C11330,Basic,Fiber,No,No phone,No,Yes,No,No,298.11,5628.49,19
S11331,C11331,Ultra,5G,Yes,Yes,No,No,Yes,Yes,632.3,34131.83,54
S11332,C11332,Plus,No Internet,Yes,Yes,Yes,No,No,Yes,339.52,6798.53,20
S11333,C11333,Basic,Fiber,Yes,Yes,Yes,Yes,No,No,299.71,16129.54,54
S11334,C11334,Ultra,Fiber,Yes,No,Yes,No,Yes,No,599.14,30642.01,51
S11335,C11335,Business,No Internet,Yes,No,No,Yes,No,No,721.44,39666.77,55
S11336,C11336,Basic,Fiber,No,No phone,No,No,No,No,234.93,3602.35,15
S11337,C11337,Basic,Fiber,Yes,Yes,No,Yes,Yes,Yes,268.7,12656.24,47
S11338,C11338,Business,5G,Yes,No,Yes,No,Yes,No,796.98,22327.34,28
S11339,C11339,Basic,Fiber,Yes,Yes,No,No,Yes,No,235.58,13763.17,59
S11340,C11340,Ultra,DSL,Yes,Yes,Yes,Yes,Yes,Yes,535.14,23599.43,44
S11341,C11341,Ultra,5G,Yes,Yes,Yes,No,Yes,No,670.2,22703.95,34
S11342,C11342,Basic,DSL,Yes,Yes,Yes,No,No,No,201.18,5487.43,27
S11343,C11343,Basic,Fiber,No,No phone,No,No,Yes,No,266.79,6960.16,26
S11344,C11344,Business,DSL,Yes,Yes,Yes,Yes,No,No,769.7,9986.94,13
S11345,C11345,Ultra,Fiber,Yes,No,Yes,Yes,No,Yes,550.51,12659.38,23
S11346,C11346,Plus,Fiber,Yes,No,No,No,Yes,No,400.83,13735.98,34
S11347,C11347,Ultra,DSL,Yes,No,No,Yes,Yes,No,539.81,17831.07,33
S11348,C11348,Plus,DSL,Yes,No,No,No,No,Yes,330.08,4475.07,14
S11349,C11349,Business,DSL,Yes,Yes,No,Yes,Yes,Yes,712.89,28617.86,40
S11350,C11350,Ultra,5G,Yes,No,Yes,No,Yes,Yes,625.17,9449.29,15
S11351,C11351,Ultra,Fiber,Yes,No,Yes,No,No,Yes,571.78,25724.43,45
S11352,C11352,Plus,Fiber,Yes,Yes,No,No,Yes,Yes,336.39,7008.97,21
S11353,C11353,Plus,DSL,No,No phone,Yes,No,Yes,No,337.13,9321.06,28
S11354,C11354,Ultra,Fiber,Yes,No,No,Yes,No,No,577.45,27143.15,47
S11355,C11355,Plus,DSL,Yes,Yes,No,Yes,No,Yes,320.3,5481.61,17
S11356,C11356,Plus,Fiber,Yes,No,Yes,Yes,Yes,Yes,357.59,20428.51,57
S11357,C11357,Basic,Fiber,Yes,Yes,No,Yes,No,No,278.12,7304.96,26
S11358,C11358,Ultra,Fiber,Yes,No,No,No,Yes,Yes,540.06,17401.13,32
S11359,C11359,Plus,DSL,No,No phone,Yes,Yes,Yes,No,358.57,18977.35,53
S11360,C11360,Plus,DSL,No,No phone,Yes,Yes,Yes,Yes,293.36,11893.06,41
S11361,C11361,Basic,DSL,Yes,Yes,No,Yes,No,Yes,240.14,10074.55,42
S11362,C11362,Plus,Fiber,No,No phone,Yes,No,No,Yes,414.39,20687.17,50
S11363,C11363,Business,DSL,Yes,Yes,Yes,Yes,No,No,819.8,16385.51,20
S11364,C11364,Ultra,No Internet,Yes,No,Yes,Yes,Yes,No,537.43,22006.83,41
S11365,C11365,Basic,No Internet,No,No phone,Yes,Yes,No,No,212.03,5186.04,24
S11366,C11366,Ultra,Fiber,Yes,No,No,No,No,No,568.43,19796.69,35
S11367,C11367,Plus,DSL,Yes,Yes,No,No,No,No,307.5,4585.21,15
S11368,C11368,Basic,DSL,Yes,No,Yes,Yes,Yes,No,218.33,10590.09,48
S11369,C11369,Basic,5G,Yes,Yes,Yes,No,No,Yes,281.42,15820.24,56
S11370,C11370,Basic,DSL,No,No phone,Yes,No,Yes,Yes,218.31,6582.94,30
S11371,C11371,Basic,No Internet,Yes,No,No,No,No,No,193.5,11694.97,60
S11372,C11372,Plus,Fiber,Yes,Yes,No,No,Yes,Yes,400.36,15686.92,39
S11373,C11373,Basic,No Internet,Yes,No,Yes,Yes,Yes,No,218.23,4139.72,19
S11374,C11374,Ultra,DSL,Yes,No,No,No,Yes,Yes,485.2,13957.02,29
S11375,C11375,Plus,5G,Yes,Yes,Yes,No,No,Yes,410.35,7434.74,18
S11376,C11376,Basic,DSL,Yes,No,Yes,Yes,No,Yes,214.27,5505.87,26
S11377,C11377,Ultra,Fiber,Yes,No,Yes,No,Yes,Yes,624.86,19468.3,31
S11378,C11378,Basic,5G,Yes,Yes,Yes,Yes,No,No,296.1,15419.11,52
S11379,C11379,Plus,Fiber,Yes,No,No,No,Yes,No,366.71,18320.05,50
S11380,C11380,Basic,5G,Yes,No,No,No,Yes,No,254.72,12035.55,47
S11381,C11381,Business,5G,Yes,No,Yes,Yes,Yes,Yes,835.57,20909.16,25
S11382,C11382,Business,No Internet,Yes,Yes,Yes,Yes,Yes,Yes,759.27,25678.8,34
S11383,C11383,Basic,DSL,Yes,Yes,No,No,Yes,Yes,168.0,9870.72,59
S11384,C11384,Plus,DSL,Yes,Yes,Yes,Yes,No,No,356.47,4652.69,13
S11385,C11385,Basic,5G,Yes,Yes,Yes,Yes,No,Yes,284.39,6517.37,23
S11386,C11386,Ultra,DSL,Yes,Yes,No,No,No,Yes,527.82,19575.24,37
S11387,C11387,Basic,DSL,Yes,No,Yes,Yes,Yes,No,209.78,8977.22,43
S11388,C11388,Basic,Fiber,Yes,No,Yes,Yes,No,No,276.78,11156.64,40
S11389,C11389,Ultra,Fiber,Yes,Yes,Yes,Yes,No,Yes,578.4,23614.08,41
S11390,C11390,Business,5G,Yes,No,Yes,No,No,No,866.82,49436.12,57
S11391,C11391,Ultra,5G,Yes,No,Yes,Yes,No,Yes,631.11,27188.23,43
S11392,C11392,Basic,Fiber,Yes,No,Yes,No,No,No,267.62,4519.34,17
S11393,C11393,Basic,5G,No,No phone,Yes,No,Yes,No,276.66,7111.03,26
S11394,C11394,Plus,DSL,Yes,Yes,Yes,No,Yes,No,337.62,8747.04,26
S11395,C11395,Ultra,5G,Yes,No,Yes,No,Yes,Yes,618.35,30285.46,49
S11396,C11396,Basic,DSL,Yes,No,Yes,No,No,Yes,157.27,4434.9,28
S11397,C11397,Plus,Fiber,Yes,No,No,Yes,No,No,420.26,10011.07,24
S11398,C11398,Plus,Fiber,Yes,No,No,Yes,No,Yes,415.45,12906.67,31
S11399,C11399,Ultra,Fiber,Yes,No,No,No,Yes,No,541.76,14750.51,27
S11400,C11400,Ultra,DSL,Yes,No,No,Yes,No,No,477.81,19553.55,41
S11401,C11401,Ultra,Fiber,Yes,Yes,Yes,No,No,Yes,568.1,23252.85,41
S11402,C11402,Plus,DSL,Yes,Yes,Yes,Yes,Yes,Yes,311.98,10782.92,35
S11403,C11403,Basic,5G,Yes,Yes,Yes,Yes,No,Yes,243.93,14167.72,58
S11404,C11404,Plus,DSL,Yes,No,Yes,Yes,Yes,Yes,283.72,6167.9,22
S11405,C11405,Basic,5G,Yes,Yes,Yes,Yes,Yes,No,303.32,12083.42,40
S11406,C11406,Business,DSL,Yes,No,No,No,No,No,800.16,48031.12,60
S11407,C11407,Business,No Internet,Yes,No,Yes,No,No,No,739.66,21473.05,29
S11408,C11408,Ultra,5G,Yes,Yes,No,No,Yes,No,633.47,10013.14,16
S11409,C11409,Business,Fiber,Yes,No,Yes,Yes,No,Yes,834.52,9140.4,11
S11410,C11410,Basic,Fiber,No,No phone,Yes,Yes,No,No,215.8,6475.56,30
S11411,C11411,Basic,Fiber,Yes,Yes,Yes,No,No,Yes,276.34,15756.89,57
S11412,C11412,Plus,DSL,No,No phone,Yes,Yes,Yes,No,349.43,19812.51,57
S11413,C11413,Basic,5G,No,No phone,Yes,No,No,No,248.22,13336.81,54
S11414,C11414,Basic,DSL,No,No phone,Yes,Yes,No,Yes,219.55,4824.87,22
S11415,C11415,Plus,DSL,Yes,No,No,Yes,No,Yes,292.33,11084.56,38
S11416,C11416,Ultra,DSL,Yes,No,Yes,Yes,Yes,No,549.59,24102.67,44
S11417,C11417,Business,DSL,Yes,Yes,Yes,Yes,Yes,Yes,728.11,39253.42,54
S11418,C11418,Plus,Fiber,Yes,No,No,No,No,No,389.12,8455.45,22
S11419,C11419,Plus,DSL,No,No phone,No,Yes,No,Yes,308.12,17804.09,58
S11420,C11420,Plus,DSL,No,No phone,No,Yes,Yes,No,409.21,19212.75,47
S11421,C11421,Plus,5G,Yes,No,Yes,No,Yes,No,467.34,19677.17,42
S11422,C11422,Plus,Fiber,No,No phone,Yes,No,No,Yes,356.67,12537.33,35
S11423,C11423,Plus,DSL,Yes,No,No,No,Yes,No,291.85,10357.73,35
S11424,C11424,Basic,Fiber,Yes,No,No,No,Yes,No,277.39,6204.85,22
S11425,C11425,Basic,5G,Yes,No,No,Yes,No,No,315.83,14476.06,46
S11426,C11426,Basic,5G,No,No phone,No,No,Yes,Yes,259.39,11185.58,43
S11427,C11427,Business,Fiber,Yes,Yes,Yes,Yes,No,Yes,802.32,34591.25,43
S11428,C11428,Plus,5G,Yes,No,No,Yes,Yes,Yes,388.92,19113.24,49
S11429,C11429,Plus,Fiber,Yes,No,No,No,No,Yes,316.96,10810.91,34
S11430,C11430,Basic,Fiber,Yes,Yes,Yes,No,No,Yes,260.5,14398.84,55
S11431,C11431,Plus,Fiber,Yes,Yes,No,No,No,Yes,388.41,9973.3,26
S11432,C11432,Plus,Fiber,Yes,Yes,No,Yes,No,Yes,448.83,8897.01,20
S11433,C11433,Basic,No Internet,Yes,No,No,Yes,Yes,No,162.25,3093.15,19
S11434,C11434,Basic,Fiber,Yes,No,No,Yes,Yes,Yes,250.53,9337.36,37
S11435,C11435,Business,Fiber,Yes,Yes,No,No,No,Yes,785.79,15009.62,19
S11436,C11436,Business,DSL,Yes,Yes,Yes,No,No,Yes,790.75,34822.83,44
S11437,C11437,Ultra,DSL,Yes,No,Yes,Yes,No,No,545.81,10524.27,19
S11438,C11438,Business,No Internet,Yes,Yes,No,Yes,Yes,No,776.95,31071.1,40
S11439,C11439,Plus,Fiber,Yes,Yes,No,Yes,No,Yes,361.59,9740.15,27
S11440,C11440,Plus,Fiber,Yes,Yes,No,Yes,Yes,No,368.4,6174.95,17
S11441,C11441,Plus,DSL,Yes,No,No,No,Yes,Yes,329.85,17489.79,53
S11442,C11442,Plus,DSL,Yes,No,No,No,No,Yes,283.86,4002.99,14
S11443,C11443,Business,Fiber,Yes,Yes,No,No,Yes,No,856.86,48859.04,57
S11444,C11444,Plus,DSL,Yes,No,No,No,No,Yes,355.27,10633.32,30
S11445,C11445,Ultra,DSL,Yes,No,No,No,No,No,541.79,15752.67,29
S11446,C11446,Business,No Internet,Yes,No,Yes,No,No,Yes,784.79,25096.3,32
S11447,C11447,Basic,5G,No,No phone,No,Yes,Yes,No,290.53,11255.9,39
S11448,C11448,Ultra,Fiber,No,No phone,Yes,No,No,No,614.92,25862.24,42
S11449,C11449,Basic,Fiber,No,No phone,No,No,Yes,No,255.96,15128.11,59
S11450,C11450,Plus,5G,Yes,Yes,Yes,No,Yes,No,445.23,24015.87,54
S11451,C11451,Business,Fiber,Yes,No,No,No,Yes,Yes,842.0,30231.42,36
S11452,C11452,Plus,5G,Yes,No,Yes,No,No,No,375.97,21468.89,57
S11453,C11453,Plus,DSL,Yes,No,No,No,Yes,Yes,358.69,16109.45,45
S11454,C11454,Ultra,DSL,Yes,No,Yes,Yes,No,No,555.6,17892.3,32
S11455,C11455,Plus,No Internet,Yes,Yes,Yes,No,No,No,323.48,13675.03,42
S11456,C11456,Plus,DSL,Yes,Yes,Yes,Yes,Yes,Yes,331.92,7077.17,21
S11457,C11457,Ultra,No Internet,Yes,Yes,Yes,Yes,No,No,549.23,21848.73,40
S11458,C11458,Plus,DSL,Yes,No,No,No,Yes,No,325.25,5880.98,18
S11459,C11459,Business,DSL,Yes,No,No,No,Yes,Yes,724.36,18668.17,26
S11460,C11460,Ultra,Fiber,Yes,Yes,No,Yes,Yes,Yes,590.01,12402.78,21
S11461,C11461,Basic,5G,Yes,Yes,No,Yes,No,No,243.31,3062.3,13
S11462,C11462,Business,No Internet,Yes,No,Yes,No,No,No,751.92,12811.97,17
S11463,C11463,Business,Fiber,Yes,Yes,Yes,Yes,Yes,Yes,873.66,39396.87,45
S11464,C11464,Ultra,Fiber,Yes,Yes,No,No,No,No,597.01,31762.67,53
S11465,C11465,Plus,Fiber,Yes,No,No,Yes,No,No,399.22,14385.52,36
S11466,C11466,Basic,Fiber,No,No phone,Yes,Yes,Yes,Yes,275.92,9343.27,34
S11467,C11467,Basic,5G,No,No phone,Yes,No,No,No,306.0,12603.22,41
S11468,C11468,Basic,5G,Yes,Yes,Yes,No,No,Yes,250.32,14501.97,58
S11469,C11469,Basic,Fiber,Yes,No,No,Yes,Yes,No,305.14,5701.82,19
S11470,C11470,Ultra,5G,No,No phone,Yes,No,No,Yes,600.26,6711.32,11
S11471,C11471,Basic,Fiber,Yes,No,Yes,No,No,No,237.32,9537.5,40
S11472,C11472,Ultra,No Internet,Yes,Yes,Yes,No,No,Yes,489.39,17546.62,36
S11473,C11473,Plus,5G,Yes,No,Yes,Yes,Yes,No,439.61,20230.68,46
S11474,C11474,Plus,Fiber,Yes,No,No,No,No,Yes,387.3,5831.92,15
S11475,C11475,Basic,DSL,No,No phone,Yes,Yes,Yes,Yes,202.87,3518.29,17
S11476,C11476,Plus,Fiber,Yes,No,Yes,Yes,No,Yes,375.55,11217.51,30
S11477,C11477,Ultra,No Internet,Yes,Yes,Yes,Yes,No,No,570.67,21183.81,37
S11478,C11478,Plus,Fiber,Yes,Yes,Yes,Yes,No,No,372.95,7408.05,20
S11479,C11479,Basic,DSL,Yes,No,No,No,Yes,Yes,144.5,5500.16,38
S11480,C11480,Basic,DSL,Yes,No,No,No,Yes,No,220.67,11687.19,53
S11481,C11481,Basic,Fiber,No,No phone,No,Yes,Yes,Yes,233.72,4129.19,18
S11482,C11482,Ultra,5G,Yes,Yes,No,Yes,No,No,645.85,9548.6,15
S11483,C11483,Ultra,Fiber,Yes,Yes,No,Yes,No,Yes,586.18,28106.11,48
S11484,C11484,Plus,Fiber,Yes,No,No,No,Yes,Yes,395.66,5572.5,14
S11485,C11485,Basic,DSL,Yes,No,No,Yes,No,Yes,205.75,2531.22,12
S11486,C11486,Business,Fiber,Yes,Yes,No,No,Yes,Yes,849.53,22091.97,26
S11487,C11487,Basic,5G,Yes,Yes,Yes,No,Yes,No,284.96,6584.58,23
S11488,C11488,Business,DSL,Yes,No,Yes,Yes,Yes,Yes,767.59,39167.8,51
S11489,C11489,Basic,5G,Yes,No,No,No,Yes,Yes,238.76,13246.49,55
S11490,C11490,Plus,5G,No,No phone,No,Yes,No,Yes,392.88,21207.98,54
S11491,C11491,Basic,Fiber,Yes,Yes,Yes,Yes,No,No,279.4,10189.14,37
S11492,C11492,Basic,DSL,Yes,Yes,Yes,No,Yes,No,146.83,4847.92,33
S11493,C11493,Ultra,DSL,Yes,No,No,No,No,No,579.77,17402.75,30
S11494,C11494,Plus,Fiber,Yes,No,Yes,No,No,No,394.6,21273.58,54
S11495,C11495,Plus,Fiber,Yes,No,No,No,Yes,Yes,406.88,4356.31,11
S11496,C11496,Plus,Fiber,Yes,Yes,Yes,No,Yes,No,395.95,9994.36,25
S11497,C11497,Ultra,Fiber,Yes,Yes,Yes,Yes,No,No,586.72,25245.71,43
S11498,C11498,Basic,No Internet,Yes,Yes,Yes,No,No,Yes,169.18,3922.54,23
S11499,C11499,Ultra,DSL,Yes,Yes,No,No,No,No,509.76,29155.75,57
S11500,C11500,Plus,DSL,Yes,No,Yes,No,Yes,No,341.65,12774.26,37
S11501,C11501,Basic,DSL,Yes,No,No,No,Yes,Yes,233.07,8171.5,35
S11502,C11502,Ultra,DSL,Yes,No,No,No,Yes,Yes,566.2,25558.26,45
S11503,C11503,Business,5G,Yes,No,Yes,No,No,No,878.18,14018.58,16
S11504,C11504,Basic,5G,No,No phone,Yes,No,No,Yes,230.22,10738.76,47
S11505,C11505,Plus,Fiber,Yes,No,Yes,No,No,Yes,393.76,5529.24,14
S11506,C11506,Business,Fiber,Yes,No,No,No,Yes,Yes,876.2,26381.24,30
S11507,C11507,Plus,DSL,Yes,Yes,No,No,No,Yes,309.88,16506.01,53
S11508,C11508,Basic,No Internet,No,No phone,Yes,No,No,Yes,203.84,10161.9,49
S11509,C11509,Basic,Fiber,Yes,Yes,No,Yes,No,Yes,239.52,6611.44,28
S11510,C11510,Plus,5G,Yes,Yes,No,Yes,Yes,No,434.39,13888.32,32
S11511,C11511,Ultra,DSL,Yes,Yes,Yes,No,Yes,No,550.81,8690.91,16
S11512,C11512,Plus,No Internet,Yes,No,No,No,Yes,No,360.5,9696.08,27
S11513,C11513,Basic,Fiber,Yes,No,Yes,Yes,No,No,265.46,15028.06,57
S11514,C11514,Basic,5G,Yes,Yes,Yes,No,Yes,Yes,278.22,13865.09,50
S11515,C11515,Business,Fiber,Yes,Yes,No,No,No,Yes,815.78,44980.59,55
S11516,C11516,Basic,DSL,No,No phone,Yes,No,Yes,No,216.78,5479.18,25
S11517,C11517,Plus,DSL,Yes,Yes,No,Yes,Yes,Yes,268.66,11581.24,43
S11518,C11518,Plus,DSL,No,No phone,Yes,Yes,Yes,No,353.9,19092.48,54
S11519,C11519,Ultra,5G,Yes,Yes,No,Yes,No,Yes,680.21,22329.14,33
S11520,C11520,Ultra,Fiber,Yes,Yes,Yes,Yes,Yes,Yes,585.63,7586.33,13
S11521,C11521,Basic,Fiber,Yes,No,Yes,No,Yes,Yes,239.91,3404.44,14
S11522,C11522,Plus,5G,Yes,No,No,Yes,No,No,441.75,25188.02,57
S11523,C11523,Basic,5G,Yes,No,Yes,No,Yes,No,282.92,16298.95,57
S11524,C11524,Plus,DSL,Yes,No,Yes,No,Yes,No,310.6,11447.31,37
S11525,C11525,Ultra,5G,Yes,No,No,No,No,No,541.37,28725.01,53
S11526,C11526,Plus,DSL,Yes,No,No,No,Yes,Yes,279.74,10410.64,37
S11527,C11527,Basic,No Internet,Yes,No,No,Yes,No,Yes,191.53,8927.7,46
S11528,C11528,Plus,DSL,Yes,No,No,No,No,Yes,281.69,13824.35,49
S11529,C11529,Ultra,Fiber,Yes,No,No,Yes,Yes,Yes,560.64,19094.38,34
S11530,C11530,Ultra,No Internet,Yes,No,Yes,No,No,Yes,488.52,24489.88,50
S11531,C11531,Ultra,Fiber,Yes,No,Yes,No,No,No,592.21,8983.34,15
S11532,C11532,Business,DSL,Yes,Yes,No,Yes,No,No,752.58,27809.34,37
S11533,C11533,Basic,Fiber,Yes,Yes,Yes,Yes,No,Yes,259.06,4967.72,19
S11534,C11534,Plus,DSL,No,No phone,No,No,No,No,285.06,8083.18,28
S11535,C11535,Plus,DSL,Yes,No,No,Yes,Yes,No,330.51,5687.24,17
S11536,C11536,Business,Fiber,Yes,No,No,Yes,Yes,Yes,759.95,41831.99,55
S11537,C11537,Ultra,5G,Yes,Yes,Yes,Yes,No,Yes,642.48,12859.83,20
S11538,C11538,Plus,DSL,No,No phone,Yes,Yes,Yes,Yes,327.52,5090.46,16
S11539,C11539,Ultra,Fiber,Yes,No,No,Yes,No,Yes,590.17,14245.31,24
S11540,C11540,Ultra,DSL,Yes,No,Yes,Yes,No,No,545.68,20138.33,37
S11541,C11541,Plus,DSL,Yes,No,No,No,No,Yes,327.25,16704.32,51
S11542,C11542,Plus,Fiber,Yes,No,Yes,Yes,No,No,369.32,5485.41,15
S11543,C11543,Ultra,5G,Yes,Yes,No,No,No,Yes,670.04,31422.82,47
S11544,C11544,Plus,Fiber,Yes,Yes,Yes,Yes,No,Yes,450.11,11244.97,25
S11545,C11545,Plus,Fiber,Yes,No,Yes,Yes,Yes,Yes,382.7,8796.64,23
S11546,C11546,Plus,5G,Yes,Yes,No,No,No,Yes,428.09,20668.07,48
S11547,C11547,Ultra,Fiber,Yes,Yes,Yes,No,Yes,No,573.98,27988.93,49
S11548,C11548,Plus,DSL,Yes,No,Yes,Yes,No,No,346.61,6590.69,19
S11549,C11549,Ultra,5G,Yes,Yes,No,No,Yes,No,602.68,7272.31,12
S11550,C11550,Basic,Fiber,Yes,No,No,Yes,Yes,Yes,267.87,9392.65,35
S11551,C11551,Basic,Fiber,Yes,No,Yes,No,Yes,Yes,276.92,11922.99,43
S11552,C11552,Ultra,5G,Yes,No,No,No,Yes,No,640.51,34691.94,54
S11553,C11553,Plus,Fiber,No,No phone,No,No,Yes,Yes,333.95,19807.44,59
S11554,C11554,Basic,5G,Yes,Yes,No,No,Yes,No,288.7,6085.21,21
S11555,C11555,Plus,5G,Yes,Yes,Yes,No,Yes,Yes,435.68,21300.97,49
S11556,C11556,Ultra,Fiber,Yes,No,Yes,No,Yes,Yes,597.16,20272.83,34
S11557,C11557,Plus,DSL,Yes,Yes,No,No,No,No,326.72,15697.53,48
S11558,C11558,Business,DSL,Yes,No,No,Yes,Yes,Yes,744.32,32621.99,44
S11559,C11559,Plus,Fiber,No,No phone,No,No,No,Yes,417.12,20773.89,50
S11560,C11560,Ultra,No Internet,Yes,No,Yes,No,Yes,Yes,527.1,31625.43,60
S11561,C11561,Plus,5G,Yes,No,No,Yes,No,No,395.39,7986.82,20
S11562,C11562,Basic,DSL,No,No phone,No,No,Yes,Yes,160.5,9388.35,58
S11563,C11563,Business,Fiber,Yes,No,Yes,Yes,No,No,791.91,31674.95,40
S11564,C11564,Basic,Fiber,No,No phone,Yes,No,Yes,No,252.12,4009.78,16
S11565,C11565,Basic,DSL,Yes,No,No,No,Yes,Yes,194.3,9696.54,50
S11566,C11566,Plus,No Internet,Yes,No,Yes,No,No,Yes,343.1,5538.8,16
S11567,C11567,Ultra,DSL,Yes,Yes,No,No,No,Yes,502.77,19588.35,39
S11568,C11568,Plus,5G,Yes,No,Yes,Yes,Yes,No,424.68,11891.56,28
S11569,C11569,Plus,5G,Yes,Yes,No,No,Yes,Yes,409.78,7910.45,19
S11570,C11570,Plus,Fiber,Yes,No,No,Yes,Yes,Yes,366.38,20797.65,57
S11571,C11571,Ultra,Fiber,Yes,No,No,Yes,No,No,596.95,33326.42,56
S11572,C11572,Business,No Internet,Yes,No,Yes,Yes,Yes,Yes,781.37,36719.1,47
